         ns       /testbench/out_x          /testbench/out_z      
          delta                /testbench/out_y                   
          0  +0                  x            x            x 
      10650  +2            9625424      4379332     34776071 
      10670  +2            9420498      4168023     34570852 
      10690  +2            9215323      3968876     34357012 
      10710  +2            9010383      3781830     34135377 
      10730  +2            8806142      3606769     33906742 
      10750  +2            8603041      3443526     33671868 
      10770  +2            8401497      3291888     33431480 
      10790  +2            8201902      3151603     33186265 
      10810  +2            8004624      3022386     32936870 
      10830  +2            7810005      2903922     32683903 
      10850  +2            7618361      2795874     32427934 
      10870  +2            7429982      2697886     32169491 
      10890  +2            7245134      2609587     31909066 
      10910  +2            7064057      2530596     31647113 
      10930  +2            6886968      2460527     31384049 
      10950  +2            6714060      2398989     31120259 
      10970  +2            6545502      2345593     30856092 
      10990  +2            6381443      2299953     30591869 
      11010  +2            6222009      2261686     30327879 
      11030  +2            6067308      2230419     30064386 
      11050  +2            5917429      2205788     29801628 
      11070  +2            5772443      2187439     29539819 
      11090  +2            5632403      2175030     29279151 
      11110  +2            5497349      2168232     29019797 
      11130  +2            5367305      2166732     28761911 
      11150  +2            5242282      2170229     28505631 
      11170  +2            5122279      2178439     28251079 
      11190  +2            5007285      2191092     27998365 
      11210  +2            4897277      2207934     27747587 
      11230  +2            4792224      2228728     27498830 
      11250  +2            4692087      2253250     27252172 
      11270  +2            4596819      2281294     27007680 
      11290  +2            4506368      2312667     26765416 
      11310  +2            4420676      2347191     26525433 
      11330  +2            4339680      2384704     26287780 
      11350  +2            4263313      2425058     26052501 
      11370  +2            4191506      2468117     25819635 
      11390  +2            4124186      2513759     25589219 
      11410  +2            4061278      2561875     25361285 
      11430  +2            4002707      2612367     25135864 
      11450  +2            3948396      2665151     24912985 
      11470  +2            3898269      2720152     24692676 
      11490  +2            3852248      2777308     24474963 
      11510  +2            3810258      2836564     24259871 
      11530  +2            3772223      2897878     24047427 
      11550  +2            3738068      2961215     23837655 
      11570  +2            3707722      3026550     23630582 
      11590  +2            3681113      3093865     23426233 
      11610  +2            3658173      3163152     23224636 
      11630  +2            3638836      3234408     23025819 
      11650  +2            3623038      3307639     22829811 
      11670  +2            3610717      3382857     22636643 
      11690  +2            3601816      3460080     22446347 
      11710  +2            3596279      3539331     22258957 
      11730  +2            3594054      3620641     22074509 
      11750  +2            3595092      3704044     21893042 
      11770  +2            3599347      3789579     21714596 
      11790  +2            3606777      3877291     21539215 
      11810  +2            3617343      3967229     21366944 
      11830  +2            3631010      4059445     21197832 
      11850  +2            3647745      4153995     21031931 
      11870  +2            3667520      4250939     20869296 
      11890  +2            3690309      4350340     20709986 
      11910  +2            3716091      4452264     20554063 
      11930  +2            3744847      4556779     20401593 
      11950  +2            3776563      4663956     20252646 
      11970  +2            3811226      4773868     20107297 
      11990  +2            3848829      4886591     19965625 
      12010  +2            3889366      5002201     19827713 
      12030  +2            3932836      5120776     19693651 
      12050  +2            3979239      5242396     19563533 
      12070  +2            4028581      5367140     19437458 
      12090  +2            4080868      5495090     19315532 
      12110  +2            4136111      5626326     19197867 
      12130  +2            4194322      5760930     19084580 
      12150  +2            4255517      5898982     18975797 
      12170  +2            4319714      6040562     18871649 
      12190  +2            4386934      6185748     18772275 
      12210  +2            4457200      6334617     18677821 
      12230  +2            4530536      6487245     18588442 
      12250  +2            4606969      6643703     18504301 
      12270  +2            4686528      6804061     18425569 
      12290  +2            4769244      6968385     18352425 
      12310  +2            4855147      7136736     18285059 
      12330  +2            4944271      7309171     18223670 
      12350  +2            5036649      7485740     18168466 
      12370  +2            5132316      7666487     18119665 
      12390  +2            5231307      7851450     18077496 
      12410  +2            5333656      8040657     18042198 
      12430  +2            5439398      8234128     18014021 
      12450  +2            5548567      8431873     17993225 
      12470  +2            5661196      8633890     17980082 
      12490  +2            5777316      8840164     17974874 
      12510  +2            5896958      9050667     17977895 
      12530  +2            6020149      9265356     17989449 
      12550  +2            6146914      9484171     18009851 
      12570  +2            6277275      9707033     18039426 
      12590  +2            6411249      9933845     18078511 
      12610  +2            6548850     10164488     18127450 
      12630  +2            6690085     10398819     18186599 
      12650  +2            6834957     10636670     18256319 
      12670  +2            6983461     10877847     18336982 
      12690  +2            7135585     11122127     18428963 
